label,class,ASC,ASC_VAR,ASS,ASS_VAR,ASF1,ASF2,ASF3,ASF4,ASF5,ASF6,ASF7,ASF8,ASF9,ASF10,ASF11,ASF12,ASF13,ASF14,ASF15,ASF16,ASF17,ASF18,ASF19,ASF20,ASF21,ASF22,ASF23,ASF24,ASF_MEAN,ASF_VAR1,ASF_VAR2,ASF_VAR3,ASF_VAR4,ASF_VAR5,ASF_VAR6,ASF_VAR7,ASF_VAR8,ASF_VAR9,ASF_VAR10,ASF_VAR11,ASF_VAR12,ASF_VAR13,ASF_VAR14,ASF_VAR15,ASF_VAR16,ASF_VAR17,ASF_VAR18,ASF_VAR19,ASF_VAR20,ASF_VAR21,ASF_VAR22,ASF_VAR23,ASF_VAR24,ASF_VAR_MEAN,AFF,AFF_VAR,LAT,TC,SC,SC_VAR,HSC,HSD,HSS,HSV,ASB1,ASB2,ASB3,ASB4,ASB5,ASB6,ASB7,ASB8,ASB9,ASB10,ASB11,ASB12,ASB13,ASB14,ASB15,ASB16,ASB17,ASB18,ASB19,ASB20,ASB_MEAN,ASP1,ASP2,ASP3,ASP4,ASP5,ASP6,ASP7,ASP8,ASP9,ASP10,ASP11,ASP12,ASP13,ASP14,ASP15,ASP16,ASP17,ASP18,ASP19,ASP20,ASP21,ASP_MEAN,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20
03-01-01-01-01-01-01,neutral,0.26257556247378105,4.105433211008897,1.8463184895173372,0.9406926123136464,0.5688143267229409,0.5695716553822892,0.5699274864083335,0.5700660125828951,0.5713499582550573,0.5746430027238563,0.5753962254550138,0.5756988718374074,0.5760781574982463,0.5765440076806826,0.581968117182662,0.5945938678160824,0.6103691487666463,0.6282010897861651,0.6520708611624245,0.6680614030059928,0.706274270350731,0.71283276388773,0.7171333620524862,0.7482475720243498,0.7568743646789288,0.7589681446983738,0.7829887291949649,0.8750280461428676,0.6467375602207136,0.24006957123193598,0.23992028132485194,0.2397328189690198,0.23977280847524593,0.23903489317787846,0.23857161830719348,0.23816963870878594,0.23803954978778477,0.23795152166898992,0.23753385121307674,0.23534654320238169,0.22996389084001073,0.22414951554475834,0.21942840699359556,0.20934455458975204,0.20157864773495074,0.18265381081139753,0.17655130268325553,0.17288602199457323,0.15254631213935732,0.15090676125766603,0.14956789272746898,0.12910450865293624,0.07756699856046455,0.20418298835822213,893.2436047578308,452875.5894853321,-0.5740312677277187,1.5827557509108126,3208.029738103992,4403620.859367496,1610.531692320943,0.1747491778982517,0.7635268433598602,0.09083197213040448,0.011235862748334028,0.04673964924047205,0.00010968971796396783,-0.0015764590550406679,0.0008267380963344524,-0.0008301121366916022,-0.0009667461316946079,9.901324865453455e-05,0.0018400647112314836,0.0006771735195446476,0.0008040166203117169,-0.000964859175413246,-0.00021830258408675582,0.0029799203298626975,0.0015978870580488779,-0.0031644234175523486,0.004018931768031785,-0.0014238621324777893,-0.0014811985057664775,-0.0020530165061756708,0.0029124983706945535,1613.8122928735215,-0.23182744784096998,-1.0391757926795175,-0.02505700641730098,0.009412474351013927,-0.052154732691053196,0.0428263941863176,-0.05679319368773958,0.013069403359747033,-0.0195971911111711,-0.008795552007224495,-0.022505585203449186,0.01576321288900407,-0.001222750238401481,-0.038086746159754076,-0.022897762053872433,0.06288555583424676,-0.09810488777034262,0.02833770655999322,0.015602369833005796,0.05681284266347738,76.78289448501607,-801.1955352486318,69.97493949177681,4.760036916955317,13.939313341130125,6.959591097792758,14.329561366188518,-1.9897310727219146,3.9320860363615853,-2.4567406192089303,-0.3765380115972342,-6.5890701597539225,-1.1507134507328103,2.9790931254519526,-1.6920569906760945,1.3997118795708219,2.2695984874269777,-1.924478947701442,0.7012733324768006,2.7456272790343124,-1.0229188504067734
03-01-01-01-01-02-01,neutral,0.11263675696496568,3.7239158785177975,1.951622567835884,0.9117388897081529,0.5626074304065628,0.5672958908622155,0.5698951269620355,0.5701652043059349,0.5707601840635764,0.5732747994514699,0.5736407831933036,0.5736570117844009,0.5740989674822548,0.5743479690420681,0.5755151995664712,0.5922913100913605,0.6019523813504057,0.6253040532147507,0.637145689228915,0.6678234499694775,0.7176615535763263,0.727223562780101,0.730757116313807,0.7714970999089061,0.7770242638321511,0.7783692570491771,0.7896383059090003,0.8565657238646751,0.6482713472587228,0.2375629522287728,0.23917021855527812,0.23930087016137924,0.23947736275489725,0.2391347365757715,0.23727870459156705,0.23701016174503878,0.2370009157743877,0.23679099212602978,0.2365912321906654,0.2354989392144671,0.2266778205041716,0.2225916549111251,0.21690427369551724,0.21238322674017002,0.19918010158219798,0.17212959082801668,0.16541816390556296,0.16178226316334607,0.1475681881814433,0.14729679495508802,0.14814672406869542,0.1395816090570605,0.0965499154795146,0.20295947554125685,862.9070957078,454443.25185404683,-0.574031267727719,1.5954135008918646,3210.470418694025,3912727.3308705613,1713.61066082248,0.17797270483419395,0.786229552599833,0.09408143206124253,0.004064940968350355,0.4090868723820222,0.007089950686224897,0.00019136264131101375,-0.0009605858009350676,0.0006660760315799213,0.0010519659051742957,0.004802806477618548,-0.004487928468528373,-0.0019974424743614307,-0.0012762304559208097,0.0001678538512299483,-0.0016007382858691077,0.001559445142539009,-0.001176550699332618,-0.0009211319049589603,0.0011428294465010602,-0.0005561697605526629,-0.0005126419453058305,-0.0027237135174213874,0.020680548510968247,1541.1233646457806,-0.10715234665221803,-8.20094382595596,-0.1260638050931969,0.023007931366884952,0.0044921655528474885,-0.006459677102681855,0.0028062154531079673,-0.11936261358904376,0.002935671611839149,0.047794381765398644,0.03084161273918371,-0.00412518406361434,0.03223964194516224,-0.035942148905579084,0.021446665965037286,0.017346588221352256,-0.020459692045779007,0.007478688176123165,0.007597803400743763,0.055047553731156225,72.98837572725245,-789.2472981368804,71.26712491892341,3.131387821872971,14.44110226306786,9.113982540296622,14.665415016373048,-2.874854787395062,4.739991278947814,-2.7319544859588882,-2.4478463583980523,-6.59532801404355,-0.6017355507002615,3.7812231460169667,-1.4730383570669987,1.073039583171823,1.4879693299890209,-2.064317144486003,0.5082818255484272,2.030038992399232,-1.2303310633337827
03-01-01-01-02-01-01,neutral,0.18209676042481657,3.7216775120701633,1.8980358148796856,0.9231665673663741,0.579171952642071,0.5837263597501329,0.5845799433543459,0.5848202389064544,0.5859994913640357,0.5875846552816634,0.5901309492853213,0.5919726077615065,0.5926920708114755,0.5929123882522638,0.5955049488677028,0.6090734983268624,0.6202972622931312,0.6336491157179462,0.659023146259346,0.676535644759437,0.7140504918490957,0.7212345218779439,0.7219675044457772,0.7705278428616081,0.7739453971802199,0.7758433265345759,0.7891394473075204,0.8477070886225362,0.6575870789297072,0.23814315464041083,0.2401526575029595,0.24046856390549973,0.24060006886926527,0.2402758670370859,0.2390195130430982,0.23728350278444302,0.23710832130957477,0.23733733036762233,0.23717193655974336,0.2357539604624228,0.2277505629581763,0.22378323310084505,0.2201902079975307,0.2127187771926979,0.200888041807087,0.17983126320080514,0.17396979282598038,0.17265856309138708,0.1435606276678378,0.14050127645853447,0.13877795509375251,0.13140278053573815,0.09915724395380161,0.2036877167652625,934.4488297269152,453923.3844800279,-0.8580279240929203,1.5266586345102047,3226.6233541309916,4209171.056167853,1620.1387465384778,0.17432086577183165,0.7482585225670786,0.08884165124505275,0.05748532838582786,0.012916878719777255,0.009667984819598732,0.009105059608773855,0.0014367871649553531,0.009749337318634307,-0.007914275213741627,3.377459673200024e-05,0.005591315069012121,-0.00012185953847848186,-0.0027828945018219487,-0.0013780335431014016,0.009595938175644575,-0.0011145917872730613,0.0004731143104492051,-0.002908867793359615,-0.013518186548171012,0.005651647943545289,0.01344383956907076,-0.0026776710862374486,0.005136731283491835,1570.394712681975,-1.2026324575511977,-0.2628735878819661,-0.1983460864556481,-0.22559233920318963,-0.04130321693102474,-0.2481057465312188,0.15980322910952977,-0.024071896981922605,-0.14679376573356584,0.004235857606789196,0.04723276096889576,0.04639342880003055,-0.1907202970842435,0.022892863954967424,-0.00314060446366642,0.05712700875916971,0.37120873010971617,-0.13110829500979607,-0.2968240088457328,0.017378363371074085,74.67378441057056,-794.2876001174309,71.49851971426348,6.02895819973649,13.800836225771013,7.422287639484788,12.192323260983764,-1.6756153310626738,5.407528975614567,-3.8146150112641686,-1.5878632650832722,-6.434525106938921,-1.9059093322398366,2.324134962509964,-1.775625893935065,1.5609405183007727,2.2962442734935817,-1.6745256515634779,-1.0009300654155373,2.2373854864545084,-0.8207647282035367
03-01-01-01-02-02-01,neutral,-0.09693494850809588,3.2720783596883503,2.0045736017651423,0.8058604364041708,0.5792846842168351,0.5840464205394289,0.5861807725961531,0.5863073847209747,0.587555422515077,0.59451796481654,0.5960497216051993,0.5961788925427673,0.5961207749437473,0.6031743401332702,0.6081327335021451,0.6229450971122257,0.6300481062613539,0.655442619854217,0.6762549728480357,0.7000232880157898,0.720774414405734,0.7242436072441711,0.7273980335207959,0.7496402512943267,0.7525028164575827,0.7535555576885745,0.7702262097150347,0.8237994624998143,0.6593501478770747,0.2343404226148562,0.23526931182382438,0.23575270638581838,0.23570549174012392,0.23517537551992615,0.23068751281403396,0.23059117944397683,0.23046713874549377,0.2304657255577934,0.23231768419932022,0.2303832718938187,0.22552203906288146,0.2205709580358971,0.21197999650515748,0.20551721255066732,0.19178387984053158,0.17549822534670576,0.17251697210800396,0.16986908558187336,0.15898013991833615,0.15897952452692282,0.15789965825757385,0.15149344194160522,0.11795415487361814,0.20332171288703169,891.7010008648683,461251.4674966972,-0.8580279240929195,1.4750851663242779,3143.09718259989,3502834.575562842,1807.7599062097008,0.17447019179242787,0.8089577807441034,0.08613734945210491,-0.004117942832988677,0.12961184761419922,0.009970520934571328,0.0012149777767605015,0.0006732696290789387,0.0006582614453402185,0.000681804734115619,0.00043863227645206957,-0.0002970557977285322,0.0006729174241067677,0.0008642783759358737,0.0003081069688522841,-0.0004171571287860347,0.000260894027826797,0.00115662693588643,0.0008779155562002043,-0.0013544798730008322,0.00018463876174369516,-0.001217582423704883,0.001192118704792064,0.007068129655482652,1517.3038425778386,0.08520034380839812,-2.6736399591573785,-0.31732641718718996,-0.019927678164254548,-0.023706795430636463,-0.010698949771806734,-0.00872682033402848,-0.005856702653339802,0.003307953121842321,-0.016740818681009108,-0.022853039940589348,-0.013405638392932637,0.013866028955007798,-0.007063343965658535,-0.025708881027662063,-0.01838652507783461,0.014236349285896718,-0.007506684559185152,0.023187815357493834,-0.013286957223991537,72.10756218365715,-791.7863647891746,71.53725373734892,8.167008302994597,14.878892681188642,7.181006793052132,13.651095833871947,-0.9755600383662681,6.634236557631904,-4.180277432981327,-2.33233110438725,-6.261805195891616,-0.8176402777774975,3.1219354893406317,0.3907963656718688,1.1393991226752844,2.49587719901385,-1.8366534409940478,0.12668347964598664,1.7112223690717154,0.10870325578053516
03-01-03-01-01-01-01,happy,0.07625180612629108,3.0251012592795217,1.9189166788984993,0.948988628714075,0.5266425292731118,0.5279842250606982,0.5288672831021635,0.5291889799415744,0.5296413747946906,0.5311029145873073,0.5319080266381403,0.5320390873100903,0.5320206417806899,0.5320024899980256,0.5327249443581674,0.5387937005856922,0.54419560250885,0.5505159982381788,0.5561641332005062,0.5757410748173896,0.6273311155010847,0.6334276878744622,0.6356435639901111,0.6913789291586815,0.7017598681167092,0.7108131555412794,0.719316086264579,0.7877579384553242,0.5877900562957294,0.24382185881387067,0.24464921996153616,0.24514363392376629,0.24537791327538472,0.24550388321888997,0.24503613151457035,0.24457167912518965,0.24446351302302205,0.24446142586303352,0.2444545071040826,0.24442806431032718,0.24246680549524868,0.24148349459296956,0.23888746273667724,0.23524398223394544,0.23410700526659334,0.21723578131581647,0.2144037392358696,0.21261164970840976,0.1809156001754346,0.17957823592070957,0.17436537896159432,0.1694132089849815,0.1252443028087594,0.22324451989877844,835.6032067336213,448643.5323749851,-0.03747282515618874,1.796275718935835,3072.9666840290374,3900262.838591678,1302.6112024863467,0.1776204099167771,0.7372939986183099,0.07664015575946655,-0.006369625609512441,0.07351447337573457,0.0014386676105129057,0.0021146665589008777,-0.0009861682534159162,-0.0003459603030925489,0.0006577530952499263,1.48136283754674e-05,0.0006136663182189907,0.0001027935003151899,-0.0006352463282120419,0.0005807673263518698,0.00101491109071648,2.9565083719304715e-05,-0.00118550832495689,0.00024308842926641007,0.0009356997592114215,0.000982420599519318,0.0005995805702607225,-0.00020957462574702095,0.0036555391750708295,1447.0168628702984,0.1407567743274568,-1.5316197045684155,-0.07816638926774339,-0.08730286451591755,0.05734582849415392,0.00515452086194007,-0.010673402184350138,-0.045016549480823356,-0.02656426782832961,-0.032721431569310545,0.008849200273689087,-0.009914887793794902,-0.016274298857700417,-0.04382459216647197,0.06945243906868043,-0.007508803742440189,-0.06428271005764542,-0.022196625476135972,-0.05752578546259935,0.018804303469967712,68.82303017256298,-747.1409076711698,79.28028077259115,3.5387529248807845,11.96592022416349,6.720280534608342,11.56249735166973,-5.31411700670176,2.352439329226399,-5.399343724636494,-2.6882591341046758,-7.307596893884302,-1.8039830174905545,2.2940075623693335,-4.650182968228315,-0.9372979942778177,1.9404382110595892,-3.026903571335,-1.7069322626430392,2.4017351661027906,-2.019347650929981
03-01-03-01-01-02-01,happy,-0.3090141327085101,5.312406141999885,1.6427577032264469,0.7453042274006264,0.5167253144076103,0.5229816771663229,0.5236732190193929,0.5250299018652801,0.5283176798372324,0.5331676386269656,0.5348770448235393,0.5359800602748501,0.536689668274749,0.5368848755951582,0.5427838078186177,0.55183935485341,0.5615262901077857,0.5642283321086237,0.5678440836512426,0.5805540865702286,0.6382860077755927,0.6452690655705868,0.6501683744101835,0.7068973437758649,0.715197748953808,0.7196794054687836,0.7350201158932304,0.7730771411939937,0.5936124265851271,0.2407464126810489,0.24203995739183584,0.24187829020566434,0.24184125982728116,0.241994150909531,0.24217842047752358,0.24273645467911575,0.2432705165095334,0.24379521318972655,0.24389507810095973,0.24348277793817547,0.24215678232381027,0.23989566025531853,0.23872875823596046,0.23591053332290507,0.2291209490010783,0.20273023794046588,0.2015938059464675,0.19989386486808067,0.17934081202381938,0.17598395594377184,0.17332250861228457,0.1667804920156181,0.1404410667663812,0.22057324829859826,817.4029088155772,444320.9129894866,-0.26440110030182024,1.7332841969429678,2802.069114295156,4049771.775997767,1440.1645490153041,0.1804457693048639,0.7540717163821566,0.09308359337594863,-0.0034263543236111227,-0.4190523588448168,-0.00046779289727766853,0.0016174590581233058,0.0026141242004400775,-0.0017189545780140621,-0.0019609880638264015,-0.0010163045241878964,0.0008790685193546905,0.0002514273648553762,-0.00047767098770083266,0.0010781614941740144,-0.003053348741020794,-0.0001709777655060086,-0.0010957036459007979,0.0014321235514506755,0.0006829099828344388,0.0030105815746189605,-0.004512093451736515,-0.0014607352398046892,-0.0213423713658776,1509.1681361521678,0.08774013654540186,8.37987937424362,-0.02195896639691762,-0.010929963172955932,-0.011724115956752735,0.03239369970849427,0.00380891125199328,-0.0016638741537714568,-0.007883757491039978,0.005877576967627358,-0.003932468397930855,-0.0018865044691771507,0.01060645567274561,-0.001687542344848556,0.04988512887955661,-0.02266624694590625,0.004451075061055083,-0.029169247364545858,0.031139220929953876,0.0011328068335633675,72.26959751674133,-726.0581206888401,79.43905860647223,1.1786998012028491,11.601592011633905,9.247781110233873,12.698481020616436,-3.697366109440763,1.0657567829271517,-4.525407585962841,-2.6075342403422375,-8.881572258183104,-1.0682583775977457,3.326158128534261,-5.126979186981109,0.1636015145449507,3.2303877448012623,-2.049671280260313,-1.6598282328165248,3.6052286693817757,-1.6574500269677441
03-01-03-01-02-01-01,happy,0.27650678111289784,3.535021287108952,1.615265161264857,0.7442302081024936,0.5100836028286627,0.5116441376217589,0.5122192989234456,0.5124117954675673,0.512963564006539,0.5172393992682518,0.5185061875027206,0.5185745523426327,0.5185071387110542,0.5190092214555136,0.5219172811321708,0.5450341799140721,0.5615747786242808,0.5722021227987856,0.592364351542616,0.6050651001898718,0.6307634966515717,0.6347164488253451,0.6405236707746048,0.6899357233433667,0.6949312622068695,0.6953189350949072,0.7095498017824531,0.7525044381691314,0.5832316870490915,0.23884955705206007,0.23880580084570968,0.23881238524237738,0.23871378112826658,0.23847012075951404,0.23724659350612845,0.23678624965874973,0.23670618314508515,0.23669110004728025,0.23611961118029318,0.23504973356997616,0.23255821078633843,0.2309218755247056,0.229687003725939,0.22257344957226477,0.2210930442569,0.21338054044322116,0.21258042962954166,0.2091220821975146,0.18203515879626206,0.18024291048383306,0.18072605585767063,0.17330792113387405,0.14640480985660134,0.21862019201667113,840.5513184573803,449613.4657424645,-0.14589647369893008,1.716493172313081,2920.7941898415097,4038184.0817938987,1336.6553627376747,0.18342107321884715,0.7063083971665002,0.07061676437687961,-0.0027566511666968227,0.19629863273346773,-0.0007002587876494169,0.0005006608364531019,-1.9297618799627704e-05,0.0013852680692183535,-0.00015264406724353446,0.0005738976011536605,-0.0002480711345791017,0.0011856917458652042,-0.0017433916664254525,0.00013320745385319338,-0.0008889713668902916,-0.00010916047423382955,-0.0004517089744574508,-0.0006702114528302483,0.0002475263548744325,0.0025580851769188276,0.0005327659453502041,-0.0008916677863438402,0.009739185071050255,1531.270961722268,0.06860629281285502,-4.0070513215099375,0.043382298894998464,0.026417871000301907,-0.02335705200944971,-0.002268721936554582,0.03672166448493784,-0.014039789839224437,0.03190302319799635,0.009557626890628036,0.02684046071755476,0.03066955086321283,-0.013077411910987363,0.0020550467904262583,0.01536118054995192,0.02648724801321493,0.009292220709227255,-0.0016020388029761986,-0.0402651863801121,-0.01994422705491967,72.73698335513092,-764.543319130078,78.7419472245769,4.468582462431333,13.79361682401237,6.53381239229082,9.880643426583308,-4.102312384234246,4.094914080325304,-7.078964363328918,-2.536182645627888,-10.78281520584527,-1.5880653432284904,4.244481525386811,-4.047597443713875,-1.3589449046207378,2.7784435339111724,-2.460146340541374,-0.9742329998565352,3.0833979682570187,-2.636393850490369
03-01-03-01-02-02-01,happy,-0.024956272705728144,3.3041172277144324,1.8678242315853912,1.0947372635622832,0.5082417277586377,0.5102203593175819,0.510473483222806,0.5105688107903893,0.5107503606261657,0.5112920821077893,0.5114020937617378,0.5114389372376453,0.511523938757455,0.5124401843150779,0.5154086408854853,0.5203795591627676,0.5266692204689248,0.5370495347665869,0.5534309875764866,0.5628730394182458,0.5915201786606936,0.6058671502042307,0.606797435687595,0.6470117559077877,0.6523379840175579,0.6549538645314849,0.6619907622996088,0.706687375652955,0.5604720611306541,0.24670786785231016,0.24630187266737355,0.24637083814954916,0.2464501052265325,0.24656331674300433,0.2461647166597038,0.24605514729131708,0.24604826329890092,0.24596070289238567,0.2451524979128616,0.2427681182297511,0.24246269857573607,0.23779723543692338,0.2346039633596577,0.2303949412034431,0.22927915809482421,0.22494244396539675,0.22067957023297807,0.2194854892996649,0.19918085538587146,0.19828334997003527,0.197839266102724,0.19417207448882073,0.17046992760261193,0.22933893419343235,832.4667055037222,451317.84277359454,0.1419720759070804,1.840916282591639,3027.368941241743,3641462.076636009,1457.6767555596357,0.18239702376764472,0.7343136987842482,0.060471247916557926,-0.007356986260945376,-0.009631272853998465,0.012119778880943087,0.01185988589538211,0.010067985431786384,-0.00807540073107104,0.009442815547202412,0.01429712355540166,0.009426996675429806,0.011749367848691133,-0.004112207586025039,0.0004485226879793904,0.004105274776867686,0.005396663395494,0.0031897394260863585,0.000587667513278722,0.004995377921155274,0.002872120498013771,0.006516587163454543,0.013303835328551398,0.004560193755683891,1427.480917963085,0.06089961031385679,0.24820139664165297,-0.24383489440518738,-0.24367443225998614,-0.25097121252629445,0.21732592610478896,-0.23188315702639084,-0.33203754010881736,-0.1780119423474787,-0.22904672540413848,0.09828508034454132,0.03982770332345988,-0.0857722903971995,-0.10372278285844429,-0.051682118210459004,-0.04023483939210842,-0.05140115200315589,-0.03904203890454927,-0.13850629730700997,-0.2592399511763879,67.88887601454692,-751.1842291376379,75.8829957270546,4.0224359256337605,18.721552660455558,7.637917227210152,11.9505189478817,-4.336606666996446,6.941761360461711,-5.274930129591794,-0.9534277836681637,-9.161018064302093,-1.0935461856834656,3.2270113467073434,-2.8655993562024626,0.7253215254408459,2.413924896868112,-2.1685423191866535,-0.5082576325890346,3.5026320593271794,-2.7100724747551825
03-01-03-02-01-01-01,happy,0.2545899101147419,2.828215641393638,1.592139912037441,0.607422714708989,0.5207288869031094,0.521985526899798,0.5234346723962229,0.5243496212352622,0.5246827181884078,0.5250740261746325,0.5250897473379222,0.5251032752988325,0.5250741126571344,0.5267812583354023,0.527449884015622,0.5278259296353714,0.5373196319659528,0.5429367348662957,0.5482212084764795,0.5602833679249176,0.571230209781409,0.575991568908232,0.5823446024886577,0.6219891780509542,0.6267404999080107,0.6310598365453469,0.6566230011659789,0.7401616182620224,0.5621867132259156,0.2440143190406576,0.24473052797146197,0.2453371273064347,0.2451398478607298,0.2452376804725137,0.24555139680708005,0.24551251950606998,0.24549484205941344,0.245491502930564,0.2464543121640348,0.24679168779594235,0.24654781065893094,0.24375486483312708,0.24332552052969025,0.24003788985873703,0.23671519332742555,0.23375855822213262,0.232742745601461,0.23092141670630467,0.21549769517763878,0.21427415572018965,0.21268283364270518,0.20480776100556453,0.14911795504958833,0.23349750684368323,813.2089918763917,413457.4610723171,-0.16579130241586937,1.8601021020004098,2882.742455696414,3244008.565531754,1583.702347895592,0.17979676022195332,0.7405531013341031,0.09764267953962846,-0.006193312214296624,-0.12179445297723965,-0.016291404216195363,0.012028586305254899,0.0002935347692739973,0.00027398335112675446,-0.0007966714476955093,-0.0007230446545762824,-0.0017171470145383757,-0.002466569000613723,0.00015594286341299912,0.003479444353652352,-0.002250240144552142,-0.000555238735855598,0.0017336897962017216,-0.0019148030174946152,-0.001782341290313425,-0.001658257163947684,8.867909273424805e-05,-3.604218934721456e-05,-0.007006283176750462,1410.6535399689767,0.1634888061649217,2.4580231550343683,0.312978826576918,-0.23054176504368348,-0.04848007297893919,-0.00029587998555536917,0.012902786415897892,-0.027769738366858997,0.07111999803517831,0.04619839166719978,0.023769664060480308,-0.05408612453823191,0.0488352695139365,0.003746641416030882,-0.033043062095778786,0.07400087885691031,-0.03561233622762601,0.03219442656703356,-0.012670285042272474,-0.07094778054484685,67.30415960802199,-708.0130423435276,71.16175865224234,-3.8822418148008886,12.12441873755688,-1.5661351327985318,8.459462231815474,-4.2345295744237,-1.6080960928721093,-9.641039936231586,-3.86116184865045,-7.493347224821297,-7.58351457221824,0.007693895017303415,-3.8643736076333313,-5.085818050104326,0.7068806998920686,-3.6429750508115766,-3.694000457184794,-1.1785069547568536,-2.7524139077938385
03-01-03-02-01-02-01,happy,-0.5571576909332482,3.5758221143128353,1.3878377551110215,0.5786261871331889,0.4408617167686716,0.4476960934040746,0.45125261797364175,0.4529548225750478,0.4556286815126797,0.4593353562654307,0.46000610321526375,0.46120979849195426,0.46178787471981797,0.46255049408003884,0.47229560970538537,0.5100715902693219,0.5229545207903489,0.5277439806307122,0.534194735279121,0.5564847414442311,0.5719553176700926,0.5747608716283163,0.5852592281102301,0.6347263883180685,0.6425812839437663,0.6468905945328438,0.6725909118796904,0.7304392213736371,0.5306763564409328,0.21475854033686398,0.21558713662410484,0.2159280786076273,0.21666484733193245,0.21673317683385682,0.21811453476594855,0.21840039143802123,0.2186288391229823,0.2190772148492861,0.21969731592437877,0.22350931690591327,0.2378975969505046,0.2413579856079646,0.24076195237924355,0.2387211230027474,0.23310413258368684,0.230875507045318,0.23001071216388128,0.22312531451683135,0.2071979289468466,0.2048042578185576,0.20459818982664355,0.19538560736539656,0.15551304827786328,0.21835219788443339,658.8724570061183,387856.6892697267,-0.1938200260161129,1.8196147849322029,2272.5219176704627,2700435.4053877615,1429.0041160574726,0.18849100744379613,0.734448334602043,0.08000236364923936,-0.28517368813794325,-0.007994064717130007,0.0012316391023742836,-0.059697892707236126,0.025305494599282143,-0.016554492429129375,0.012790925735764354,-0.0012620483830769087,-0.0003930064544835004,-9.804711596711359e-05,-0.013570128566514857,-0.004283357420129208,0.0011919438998592403,-0.0013237471051474375,-0.00034874868022739266,-0.0005680725395656531,-0.0011984692129004303,-0.004418151612538096,0.002344275451938926,-0.0007584267605269104,-0.017738903152664864,1422.1535250935679,5.532455766951584,0.1497728828352154,-0.0243795249308801,1.09631723668282,-0.4826483343075618,0.32254763529068375,-0.18270729695319196,0.015764956461606663,0.0073855403832230465,0.0028341416512447236,0.20897750256378148,-0.018791260579958793,-0.026317424698653568,0.012768765499126769,0.013612736328056995,-0.011211595185230381,0.029087431129419687,0.04101173278415654,-0.002916624132734875,0.0022403887094254314,68.03996808333574,-667.0292541491142,77.24872709862144,-4.644871525423372,6.858116952701266,1.8489594949185582,10.382179127817771,-2.710167790141892,-2.069372978545029,-7.052494493809864,-4.035189258075264,-9.546068312069544,-5.984033908443333,4.658597860526112,-2.632970744759049,-4.601063134629131,1.5227325152781004,-1.5923284472899522,-3.7019654375982207,0.014888995742130089,-1.479644613071782
