label,class,ASC,ASC_VAR,ASS,ASS_VAR,ASF1,ASF2,ASF3,ASF4,ASF5,ASF6,ASF7,ASF8,ASF9,ASF10,ASF11,ASF12,ASF13,ASF14,ASF15,ASF16,ASF17,ASF18,ASF19,ASF20,ASF21,ASF22,ASF23,ASF24,ASF_MEAN,ASF_VAR1,ASF_VAR2,ASF_VAR3,ASF_VAR4,ASF_VAR5,ASF_VAR6,ASF_VAR7,ASF_VAR8,ASF_VAR9,ASF_VAR10,ASF_VAR11,ASF_VAR12,ASF_VAR13,ASF_VAR14,ASF_VAR15,ASF_VAR16,ASF_VAR17,ASF_VAR18,ASF_VAR19,ASF_VAR20,ASF_VAR21,ASF_VAR22,ASF_VAR23,ASF_VAR24,ASF_VAR_MEAN,AFF,AFF_VAR,LAT,TC,SC,SC_VAR,HSC,HSD,HSS,HSV,ASB1,ASB2,ASB3,ASB4,ASB5,ASB6,ASB7,ASB8,ASB9,ASB10,ASB11,ASB12,ASB13,ASB14,ASB15,ASB16,ASB17,ASB18,ASB19,ASB20,ASB_MEAN,ASP1,ASP2,ASP3,ASP4,ASP5,ASP6,ASP7,ASP8,ASP9,ASP10,ASP11,ASP12,ASP13,ASP14,ASP15,ASP16,ASP17,ASP18,ASP19,ASP20,ASP21,ASP_MEAN,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20
03-01-01-01-01-01-01,neutral,0.26257556247378105,4.105433211008897,1.8463184895173372,0.9406926123136464,0.5688143267229409,0.5695716553822892,0.5699274864083335,0.5700660125828951,0.5713499582550573,0.5746430027238563,0.5753962254550138,0.5756988718374074,0.5760781574982463,0.5765440076806826,0.581968117182662,0.5945938678160824,0.6103691487666463,0.6282010897861651,0.6520708611624245,0.6680614030059928,0.706274270350731,0.71283276388773,0.7171333620524862,0.7482475720243498,0.7568743646789288,0.7589681446983738,0.7829887291949649,0.8750280461428676,0.6467375602207136,0.24006957123193598,0.23992028132485194,0.2397328189690198,0.23977280847524593,0.23903489317787846,0.23857161830719348,0.23816963870878594,0.23803954978778477,0.23795152166898992,0.23753385121307674,0.23534654320238169,0.22996389084001073,0.22414951554475834,0.21942840699359556,0.20934455458975204,0.20157864773495074,0.18265381081139753,0.17655130268325553,0.17288602199457323,0.15254631213935732,0.15090676125766603,0.14956789272746898,0.12910450865293624,0.07756699856046455,0.20418298835822213,893.2436047578308,452875.5894853321,-0.5740312677277187,1.5827557509108126,3208.029738103992,4403620.859367496,1610.531692320943,0.1747491778982517,0.7635268433598602,0.09083197213040448,-0.010439239717976933,-0.012022354352028997,0.0035126297914583014,0.0034121394679683436,0.045464617753382,0.0017448441300870123,-0.00014639260410190128,-0.0011479519807508648,0.000845443678785528,0.00010792719111541763,0.000752131568325626,4.5506633099021385e-06,-0.00018185693020908076,-0.0008180055332194197,0.0031010241025358027,0.0019651278685383455,0.00018427938486321752,-0.0002848329623335515,-0.001152259712402501,-0.0011539038861928276,0.0016873958960576714,1613.8122928735215,0.24193833404524714,0.2589906742430836,-0.07889183565110992,-0.0850145289009536,-1.0090911499550401,-0.015902244881347668,0.0017563500622786432,0.010119028471719855,0.0005852705614114839,-0.00042781910712803454,-0.028672405159683282,-0.001567788635567309,0.002399838070308471,0.018140626812033045,0.031623383736092844,-0.04192935053058536,-0.005425508108364894,0.005908517775737922,0.026558797868867633,0.03115387710893495,76.81783547339748,-801.1955352486318,69.97493949177681,4.760036916955317,13.939313341130125,6.959591097792758,14.329561366188518,-1.9897310727219146,3.9320860363615853,-2.4567406192089303,-0.3765380115972342,-6.5890701597539225,-1.1507134507328103,2.9790931254519526,-1.6920569906760945,1.3997118795708219,2.2695984874269777,-1.924478947701442,0.7012733324768006,2.7456272790343124,-1.0229188504067734
03-01-01-01-01-02-01,neutral,0.11263675696496568,3.7239158785177975,1.951622567835884,0.9117388897081529,0.5626074304065628,0.5672958908622155,0.5698951269620355,0.5701652043059349,0.5707601840635764,0.5732747994514699,0.5736407831933036,0.5736570117844009,0.5740989674822548,0.5743479690420681,0.5755151995664712,0.5922913100913605,0.6019523813504057,0.6253040532147507,0.637145689228915,0.6678234499694775,0.7176615535763263,0.727223562780101,0.730757116313807,0.7714970999089061,0.7770242638321511,0.7783692570491771,0.7896383059090003,0.8565657238646751,0.6482713472587228,0.2375629522287728,0.23917021855527812,0.23930087016137924,0.23947736275489725,0.2391347365757715,0.23727870459156705,0.23701016174503878,0.2370009157743877,0.23679099212602978,0.2365912321906654,0.2354989392144671,0.2266778205041716,0.2225916549111251,0.21690427369551724,0.21238322674017002,0.19918010158219798,0.17212959082801668,0.16541816390556296,0.16178226316334607,0.1475681881814433,0.14729679495508802,0.14814672406869542,0.1395816090570605,0.0965499154795146,0.20295947554125685,862.9070957078,454443.25185404683,-0.574031267727719,1.5954135008918646,3210.470418694025,3912727.3308705613,1713.61066082248,0.17797270483419395,0.786229552599833,0.09408143206124253,-0.004217410816238306,0.40907910066224695,0.004326808883671779,0.002160691822335468,0.003870536416693465,0.002583762094067179,0.004684740095884921,9.241909429794929e-08,0.0011504924506058282,0.0012690125791749104,6.179284178627048e-05,-0.00011760038789804445,-0.002082220932088463,-0.001191421966062284,-0.0029517918657016545,-0.00017025309442335386,-0.0034459068977036253,-0.004500100564270913,0.0024040053794288593,0.0009512725033949399,0.02069328008119991,1541.1233646457806,0.11021115006697318,-8.200775629571027,-0.11258904847976572,-0.02077399180703323,-0.0880196451442313,-0.030063609938379893,-0.0602221086438424,-0.0028279508154603807,-0.05312184032010157,-0.016286031561172264,0.0190983014200091,0.015455635717852644,0.017988952214112192,0.012186658777132733,0.048356392993928535,0.008084455330119446,0.05920016683786753,0.036970688664154365,-0.04595850871831262,-0.061677551137909466,72.98850481579359,-789.2472981368804,71.26712491892341,3.131387821872971,14.44110226306786,9.113982540296622,14.665415016373048,-2.874854787395062,4.739991278947814,-2.7319544859588882,-2.4478463583980523,-6.59532801404355,-0.6017355507002615,3.7812231460169667,-1.4730383570669987,1.073039583171823,1.4879693299890209,-2.064317144486003,0.5082818255484272,2.030038992399232,-1.2303310633337827
03-01-01-01-02-01-01,neutral,0.18209676042481657,3.7216775120701633,1.8980358148796856,0.9231665673663741,0.579171952642071,0.5837263597501329,0.5845799433543459,0.5848202389064544,0.5859994913640357,0.5875846552816634,0.5901309492853213,0.5919726077615065,0.5926920708114755,0.5929123882522638,0.5955049488677028,0.6090734983268624,0.6202972622931312,0.6336491157179462,0.659023146259346,0.676535644759437,0.7140504918490957,0.7212345218779439,0.7219675044457772,0.7705278428616081,0.7739453971802199,0.7758433265345759,0.7891394473075204,0.8477070886225362,0.6575870789297072,0.23814315464041083,0.2401526575029595,0.24046856390549973,0.24060006886926527,0.2402758670370859,0.2390195130430982,0.23728350278444302,0.23710832130957477,0.23733733036762233,0.23717193655974336,0.2357539604624228,0.2277505629581763,0.22378323310084505,0.2201902079975307,0.2127187771926979,0.200888041807087,0.17983126320080514,0.17396979282598038,0.17265856309138708,0.1435606276678378,0.14050127645853447,0.13877795509375251,0.13140278053573815,0.09915724395380161,0.2036877167652625,934.4488297269152,453923.3844800279,-0.8580279240929203,1.5266586345102047,3226.6233541309916,4209171.056167853,1620.1387465384778,0.17432086577183165,0.7482585225670786,0.08884165124505275,0.011528721660054595,0.057611139734796916,0.0006192337286243914,-0.008016673242216936,-0.01074130401278046,-0.005645764307130696,0.00180106371188277,0.01461445021479491,-0.0028309211924601747,0.002716004537189395,-0.002367279985376085,-0.0011477348663098007,0.0012572036411810487,-0.0009501109480172804,-0.004169056901082746,-0.0013646655817066936,0.0011746673926247974,0.00201036706234685,-0.01994656174334544,0.00500445809943267,0.002057861850125102,1570.394712681975,-0.23368636803173978,-1.2046952860545568,-0.011664687780585731,0.16470225555301984,0.2639435854581884,0.1250151559550922,-0.021746809369236193,-0.31806903631298844,0.06492545011655797,-0.06867269658056487,-0.022102921928318968,0.01850623518215436,-0.03252413811436979,0.01485102610455166,0.09882715522308393,0.02456094461067932,-0.027128878809876644,-0.014336271203233773,0.49899467394299274,-0.11448062784688263,74.7428538781947,-794.2876001174309,71.49851971426348,6.02895819973649,13.800836225771013,7.422287639484788,12.192323260983764,-1.6756153310626738,5.407528975614567,-3.8146150112641686,-1.5878632650832722,-6.434525106938921,-1.9059093322398366,2.324134962509964,-1.775625893935065,1.5609405183007727,2.2962442734935817,-1.6745256515634779,-1.0009300654155373,2.2373854864545084,-0.8207647282035367
03-01-01-01-02-02-01,neutral,-0.09693494850809588,3.2720783596883503,2.0045736017651423,0.8058604364041708,0.5792846842168351,0.5840464205394289,0.5861807725961531,0.5863073847209747,0.587555422515077,0.59451796481654,0.5960497216051993,0.5961788925427673,0.5961207749437473,0.6031743401332702,0.6081327335021451,0.6229450971122257,0.6300481062613539,0.655442619854217,0.6762549728480357,0.7000232880157898,0.720774414405734,0.7242436072441711,0.7273980335207959,0.7496402512943267,0.7525028164575827,0.7535555576885745,0.7702262097150347,0.8237994624998143,0.6593501478770747,0.2343404226148562,0.23526931182382438,0.23575270638581838,0.23570549174012392,0.23517537551992615,0.23068751281403396,0.23059117944397683,0.23046713874549377,0.2304657255577934,0.23231768419932022,0.2303832718938187,0.22552203906288146,0.2205709580358971,0.21197999650515748,0.20551721255066732,0.19178387984053158,0.17549822534670576,0.17251697210800396,0.16986908558187336,0.15898013991833615,0.15897952452692282,0.15789965825757385,0.15149344194160522,0.11795415487361814,0.20332171288703169,891.7010008648683,461251.4674966972,-0.8580279240929195,1.4750851663242779,3143.09718259989,3502834.575562842,1807.7599062097008,0.17447019179242787,0.8089577807441034,0.08613734945210491,-0.004101611105418731,-0.12961272105094132,0.002671635890198797,-0.004584101409594969,-0.004077994902810817,-0.004073682953351168,-0.004032344504750318,0.003340826205026496,-0.0008493120169046631,0.0018146487498855017,-0.0005650902406851342,-0.0010803090496098377,0.0002522981180239518,-0.0031321677355778624,0.0006998996303321126,0.0014075694917708714,-0.0006931753696800096,-0.0014048355250173372,-0.0012747726885915251,-0.0003501085069053933,-0.007482267448730068,1517.3038425778386,0.08485106609924851,2.6736572183376257,-0.1095224177505055,0.14663817227190443,0.12977866331391466,0.1286825385506077,0.11829804231318417,-0.09190841288059746,0.02955682283405065,-0.04872517836178922,0.009865855560468486,0.027537349782912317,-0.02916974820168249,0.07008690018488885,-0.013775469869623197,-0.04010575017585207,0.024159489580165942,0.04327302308975634,0.03389684524677963,0.021064036447934458,72.40533245829582,-791.7863647891746,71.53725373734892,8.167008302994597,14.878892681188642,7.181006793052132,13.651095833871947,-0.9755600383662681,6.634236557631904,-4.180277432981327,-2.33233110438725,-6.261805195891616,-0.8176402777774975,3.1219354893406317,0.3907963656718688,1.1393991226752844,2.49587719901385,-1.8366534409940478,0.12668347964598664,1.7112223690717154,0.10870325578053516
03-01-02-01-01-01-01,calm,0.14164597559656525,4.156385020231517,1.7537594043079694,0.8405632564093828,0.5295213526913408,0.530725546456062,0.5320634793378498,0.5327108612016223,0.5428914565173771,0.5488297776460334,0.5491687361963187,0.5500009069437116,0.5502537803315779,0.5557434560271456,0.5740020733376198,0.6036230863447176,0.6176468662524183,0.6392329365394709,0.6758798711130402,0.7107996160756832,0.7448713158315261,0.7503582569979786,0.7568754538457135,0.8027361411597423,0.8077297098632716,0.8106565499772934,0.8295044661274436,0.8768844106426024,0.6509462544773984,0.2447312152333732,0.24534824706021516,0.2460195219863934,0.24591804219540717,0.24338053766344955,0.24141078997255522,0.24128979930883693,0.24137801918359653,0.24120565017753204,0.2365021625753692,0.2268211963018469,0.21728418907896016,0.21612830527282298,0.21086468952053258,0.19367538724754946,0.1811906258852202,0.16114093964010065,0.15659628624934177,0.15212245109529404,0.12181979398262631,0.11680810321980437,0.11656497416174634,0.1053580982095396,0.08026013835875993,0.19515913181586972,858.910087803371,454883.32419346774,-0.8258432407215185,1.7341916548798817,3046.255192651776,4269710.517010041,1670.8788296793523,0.17538328370818884,0.7748384118189032,0.09732480643458506,-0.1800216825379809,-0.13030056885542898,-0.1015091505970039,-0.07298694459916366,-0.040621068235833516,0.007099326710777971,-0.012384607060308977,-0.01128853065646041,0.015305061846697382,0.007769269073458511,0.0049885440019108215,-0.0056550206702658925,-0.006073226534889831,0.005768109283918151,-0.03912155281179343,0.01884899376533362,-0.005613015183312151,0.013304129789590034,0.011209641763192687,0.013653740092720619,-0.025381427570742094,1616.6890663784075,3.6758447840739525,2.686704855036823,2.111009853187539,1.5181439010841096,0.8202412951496528,-0.17264073308262343,0.25293944841330873,0.262333314608435,-0.31832246235749434,-0.1797781247783553,-0.08963011447260595,0.12076992334009987,0.19483228735055044,-0.1206085348513399,0.8011400048514572,-0.3779632334820678,0.11445745493329171,-0.2744754307313381,-0.21928779998088233,-0.2741825765081462,77.48669497572342,-830.7915764343294,76.263184329297,8.091867824406743,15.39707321274218,7.189097427492325,14.428377854476643,-1.929992931868649,4.768323551637709,-4.217381383525469,-0.13548424008108756,-6.594977722885488,-2.984187921297558,2.6874264768679117,-0.8718595815477309,0.6088906646583085,1.453093286561607,-1.5855011364635925,0.1456171393329003,3.0742640362158715,-1.3623992658371598
03-01-02-01-02-01-01,calm,0.09007690619568276,4.68815000848043,1.7376994704252853,0.7994203431721543,0.520870928265755,0.5226246491315446,0.5231550532859814,0.5233451068034108,0.5248970448688404,0.5278009234997763,0.5284797030328197,0.5292353764657624,0.5293901480473415,0.5329579993661462,0.5525663250229889,0.572485984256841,0.5811834392215341,0.6216237269236005,0.6546270281555704,0.6753256439862607,0.705390181829276,0.7114380109784872,0.7165048533314624,0.7363324965707808,0.7458145356500445,0.7477351238002701,0.7575741927286798,0.8551686681017083,0.6206886309718701,0.2464770072900282,0.24684029890677567,0.2466653893661307,0.2466272107408037,0.24634751650126868,0.24557402169610237,0.24544262569973735,0.24568528201803747,0.24554586684097476,0.242295653100303,0.23483046858384557,0.22775594717270167,0.2274630190562782,0.2169083671010214,0.210076311793074,0.20221200208004753,0.18271553585195727,0.17720994084566583,0.1712793151448343,0.15999894221097669,0.15502949772090685,0.15551264319863084,0.15032829911092596,0.09757128645880667,0.20943301868707645,842.5640686861467,461844.2408845448,-1.0177287669604311,1.6537830797075073,2995.8628210979377,4468691.968988581,1483.0851334762733,0.18164859114722473,0.7692150582564908,0.0668860246953591,0.006770126114625111,-0.26790571649672645,0.005083415739273791,0.003615006659790379,-0.004484502711412817,-0.00037547570853574386,-0.0019587570622100333,0.00204037821683463,0.0019122620252073062,-0.000322053099765629,0.0011504832392903758,0.006166748837249968,0.001753517580922749,-0.002207062779697859,0.0012788236662801475,0.000658402783491762,-0.0011446922278332894,3.7101874521826506e-05,-0.001205859997010197,-0.0006337464858904875,-0.012488579991579724,1561.181589840808,-0.1567310044452299,5.528949780598596,-0.13961556582791293,-0.053801449923409884,0.12880180860683096,0.007438973759362955,0.013287508311743615,-0.02528771431039505,-0.03890399638212615,0.007596483527135915,-0.027467148781458367,-0.10279650564675068,0.03158879222028798,0.030759628702911528,-0.01821617253460516,-0.013942476376912143,0.015763411743185723,0.03006863245128909,0.010571005317317516,-0.02468808120330038,74.58976027383879,-802.3527933684069,81.97055980062015,7.740633159587199,15.692000126117899,7.025654477383082,14.0896776287518,-1.4451604969684406,6.9955040886076665,-3.173083845505336,-0.1952987314229526,-5.077612966905924,-3.177614597348952,3.8602969150202266,-0.5212661664877669,3.1806834318830743,2.2925825653324914,-1.3605855376899996,1.6053258412322193,2.952466674564453,-1.7365018805073222
03-01-02-01-02-02-01,calm,-0.024314918558139074,4.00626530046562,1.9360143199366737,0.8556107285695341,0.5371563358838427,0.5387205873329327,0.5392175821534675,0.5406389184044454,0.5420525588165399,0.5439006655985922,0.544404543090773,0.5451486755380499,0.5454322146930647,0.5494983252174593,0.5561332046122656,0.5720955270277102,0.5832909747735874,0.6167120594065623,0.6677980625144253,0.699195270966995,0.725599559929244,0.7333230647068743,0.7382448709064415,0.7612493330292451,0.7617995023149744,0.7667083403886759,0.7854482429579521,0.8754083161088538,0.6362156973488738,0.2422651194571174,0.24274955302146256,0.24285767751587004,0.2432414759031594,0.24322158727545545,0.24242185712002742,0.2423571620296172,0.2427487171590309,0.24278704487115618,0.23934092161185835,0.23476642410542456,0.22700097059736435,0.22437871658935665,0.21579471545568574,0.2006185727945443,0.19514339617684331,0.1737120244035289,0.16874430146575,0.1632542246677705,0.1422136366388157,0.140981260862945,0.13850696749877447,0.12621300507976793,0.07671480343782497,0.2021680889891313,845.9993348303498,468380.9309561995,-1.193820026016114,1.6074825730380016,3084.761492088796,4198753.091853481,1403.164867856885,0.17687019351147676,0.7666408970020048,0.0551154670383811,-0.029360893923910218,-0.00936487973784653,-0.0023481190826022476,-0.003983155233724348,0.038072007219615324,-0.00011910872666508004,-0.000856100573048334,0.0011335967617425295,-0.0009235313763534491,0.0011653269650468145,2.5184878107415812e-05,-0.00346379414826122,0.0012750901941442413,0.001671099548030168,2.275217294948911e-05,-5.567882296567753e-05,-0.00046018363145769263,0.0001427154826751476,-0.001478376826825694,-5.115831263402775e-05,-0.00044786035869916945,1507.111482221295,0.5135468841515868,0.24121045445049272,0.05229212392657169,0.08676205143244034,-0.8405618456834199,0.001031618952001179,-0.0011010568535188634,0.0013306541249086682,0.01002813667027078,3.731530101393859e-05,0.0024183890790473467,-0.0009017880868480101,-0.0002917332989978569,0.0008233864925375968,-0.00029523463247238085,5.7024808575029673e-05,0.0032540905677790276,-0.0008377196361190811,0.0016257943044491055,0.0009799987667746697,71.77061384600628,-802.4717752076123,83.63960982663245,9.992813686739312,14.242813884406498,8.153134178624262,15.3789543084175,-1.1228340977393871,7.221452501161972,-3.697820249429792,-0.5903124067022137,-4.591886542959127,-2.732219767559649,3.065534694306996,-0.35901298648447294,1.9304675022157909,1.9227944142844937,-1.6497265089232498,1.2509555775840822,3.1200874035772634,-0.8707016897386729
03-01-02-02-01-01-01,calm,-0.04800906229821951,5.19001857943202,1.6485751248987037,0.6953694943221187,0.49501958766202175,0.4966506283774802,0.49753173573016357,0.4989987450282491,0.5062630059609561,0.5204444274150413,0.5256913447409839,0.5283202561220373,0.5302049913271533,0.5389015165326375,0.5499974996482154,0.566084038154945,0.5805136386671781,0.6345662643109512,0.6844900424969514,0.7307874971670829,0.7586365286258264,0.7824050111307541,0.7986446060432258,0.8293376486395879,0.8366402314318833,0.8366183173902983,0.8684973514698671,0.9228141374977331,0.6465857938154677,0.24309339199510688,0.24351160338348354,0.24366101218244884,0.24312901287461114,0.23917107256969058,0.2369696720133328,0.2358700610956865,0.23642544525220127,0.23733383058678575,0.23326222423466852,0.23022771332563677,0.22306697955133256,0.22065354255033026,0.20630247332094748,0.18883440982240962,0.1682223412820917,0.14717510132561915,0.13047889126065945,0.12138428593371643,0.1002662419851834,0.09501422457274332,0.09531679164786805,0.0782781228586374,0.04117045160839075,0.1849507873847326,777.4664725783879,465773.20728554635,-0.7958800173440749,1.8126769569128238,2854.532008834266,4717518.593106748,1562.189206459639,0.1696541010626765,0.8439673454182856,0.05807519620045159,0.004495644538239603,-0.1496052013626469,0.0017342551625704789,-0.0016652074940321346,-0.002713830903121396,-0.0031866635385860835,-0.0039015666362811233,0.0025686512061335286,-0.003877542351962237,-0.0013082873779563348,-0.0010867039378420283,-0.00011795196343994116,0.0012987480318859008,-0.003199959521587329,-6.858995828034515e-05,0.0003149915943268061,0.00016599662611517242,0.0010432717210779423,-0.0027528067852467955,-0.0006329559443618725,-0.008124785444749757,1649.1528020857254,-0.1099479029843769,3.1398574202562473,-0.007777234302314216,0.05906396999365773,0.02409431941031255,0.08802734701510324,0.059200414130865735,-0.07537769980809421,0.06378721131259579,0.05934194871244969,0.04092843362173451,0.006656262034930687,-0.003715070142232916,0.05245277724167934,-0.006964710381621725,-0.002699393352972402,-0.006097838925440171,-0.02509308915330859,0.0037233785919658525,-0.016295061466630845,78.69028416988237,-844.1889338369696,84.7422006710982,12.095070620935182,15.678599450854847,7.79364099347844,16.610874623512487,-1.5799914582004912,4.951236548139853,-4.061820234270002,2.1851277714869926,-3.7698480882093564,-1.771210316116427,3.279272365209184,1.4056554599225823,2.061775270336755,0.9039127828761532,-1.07210229608583,1.122794101076992,2.95231651624207,-0.4274023415597729
03-01-02-02-01-02-01,calm,0.16037732852788494,4.537179499801993,1.584043295263495,0.5231091855520639,0.4398268183927022,0.4436052074417049,0.44404521953302273,0.44543469179880507,0.4474329916721514,0.45663878926877893,0.4643889099106551,0.46512203756452264,0.46568194508265043,0.4693213513620511,0.47797744039648604,0.4960677177665587,0.5176320268790644,0.5590764825854797,0.6063073220838273,0.6760821682082983,0.7005006021974727,0.7165430290504051,0.7300696278433199,0.7552578457324658,0.7602376729965248,0.7587354897430827,0.7812748564955717,0.8573182151993651,0.580607435800207,0.24211124556673436,0.24230367523578072,0.24223099381611482,0.2419750155463933,0.24072791713993527,0.23818368809459256,0.23758407141649343,0.23782772750791115,0.23762467720674865,0.23655839318347432,0.23157808157855045,0.22707527185649862,0.22510335896232503,0.2144432395237927,0.20363037462916075,0.18831074720411284,0.17582064902886657,0.165102421477476,0.15680925266135548,0.14169480498674966,0.1381941647045543,0.13956924600562284,0.12560329251390825,0.0886962467772082,0.20078160652601498,765.0404411561652,448480.50159450684,-0.8258432407215182,1.9848900280922863,2801.911698998782,4136166.2490936215,1630.0833966635278,0.17225479350071474,0.8358428445702408,0.06108702945567388,0.007799891246428573,0.012147978281781093,-0.00037487622157228884,0.005444103126348708,-0.007245696079836547,-0.041788488087125014,0.0017409300902897513,-0.00078586811808551,0.0002493659957000719,0.005493919392110287,-0.00014675922467579988,0.0010183832876615622,0.00037384312686707024,-0.0004818567539463989,0.0005204563621006152,0.0012112518513091252,0.0004022077578573752,0.001101671844112554,-0.0009019989691396445,0.0006180530637428063,-0.0006801744014035808,1587.4640472290769,-0.20763787967197336,-0.2530283945279786,0.004585649961855232,-0.12824053647251976,0.16713763865194312,0.9387306059160614,-0.027270277770611903,0.002064974312972961,-0.004292756653275852,-0.015255749502279455,0.0035126298631122056,-0.023529516125665412,-0.012878075762367776,0.00830326576696069,-0.00040738747968441507,-0.025693339992343592,-0.007760372444466564,-0.023651177637779883,0.026892359071130696,-0.014805691998902097,75.61289634269436,-800.8446015007089,83.20090898697646,5.751049243406836,14.682002281969696,4.835254227485766,16.6263878223227,-3.7124389773326842,6.122302278113604,-6.4367087107902865,-0.3244588409806512,-4.592293956865524,-3.2613432431127896,4.439064645827726,0.18211140365338135,2.095956142741235,-0.2965050664288066,-1.405092966993683,0.42374623877272655,2.74584316613485,-1.6911985692694473
03-01-02-02-02-01-01,calm,0.07049136544236406,4.432596995856306,1.5700443374443576,0.7096438966443789,0.4312751322324564,0.4320450461932112,0.43318125548870584,0.4343892140592913,0.43886789179834057,0.4439208522495121,0.45012939077714564,0.45078127124591505,0.45403202558204436,0.4601727910943304,0.4827697543627851,0.4979774463401029,0.5179122417599281,0.5454595744947325,0.5865872854387292,0.6123871908049007,0.6262060881135546,0.636963005276676,0.6463223978791203,0.6745004462818881,0.6807914756546968,0.6795835856760686,0.6982243286045944,0.7806338882416259,0.5456297324854315,0.24128375933929,0.24138191573812542,0.24117096977123584,0.24039059055198744,0.23827716022632853,0.2367643161513965,0.23575722187001738,0.23549335706089136,0.23624847789007866,0.23484734942605,0.2333167985228851,0.2309926044244398,0.23103954962177828,0.22626465555499733,0.21997159138375208,0.21063244638744302,0.19879314483493407,0.1913106024265677,0.18560770420630135,0.17436453433029728,0.17128771354257513,0.1725293851871599,0.1677093989502064,0.1312492471453691,0.21361185393933782,772.9329881682264,446994.1507892774,0.08493357493671605,2.087226206795446,2811.8414392508903,4069393.0339893606,2077.3805749372377,0.1803009553938151,0.7851429597982948,0.06047721114332956,-0.002536016885388938,0.5938477552696318,-0.0020981043462361256,0.0008328924309587839,0.001562641952854996,-0.00045243787776269194,0.0007314477604799504,7.290494927811845e-06,-0.0020933943083514942,-0.00033575783053829786,-0.00019727077657929754,-0.00010803761643835888,-0.001984927618641604,0.003999727737598453,0.00025924898113342354,0.0004614374430613026,0.0012281515178315108,-0.0002590870741449718,-0.0005758789618756604,0.0029744647688407194,0.02976320725306807,1506.7679208882466,0.06609952796510428,-11.819954584157706,0.02969143455574154,-0.022249298718999607,-0.01226689297722911,0.008886314979611681,-0.001420002759821353,0.00043556426626921137,0.02094248064370724,-0.009259051100613274,-0.013976692632114608,0.010411246172313338,0.018606634770548424,-0.003473609838427351,-0.0027844264199244836,-0.006575506288546981,-0.007204009789818037,-0.0036388071545459086,0.008815410651014585,-0.002832993654675116,71.19172255365517,-800.6559352536499,83.77483806134742,11.059062416189063,18.51483803450964,3.114872580662524,16.104433299296783,-1.598760090877812,8.182167339111658,-8.227533144285497,1.7620404071233164,-6.6232050269464064,-2.2335445843183255,3.9948859465343975,0.930721644122228,3.4337281494596397,0.286381970435121,-2.032638284328453,1.4340351093442467,1.2631907102575282,-2.39236485206382
